epoch,train_loss,val_loss
1,0.9203892689019068,0.6941909052340235
2,0.5843537924252897,0.6274058957268948
3,0.5046063858303996,0.5847737396300441
4,0.47397201781318116,0.5765409287559411
5,0.4426105625596116,0.5693718178729352
6,0.42376639401956223,0.5728240155877903
7,0.418072674821047,0.5431397409803665
8,0.4091324541343905,0.5468685281254977
9,0.40288053038957883,0.5290857216656227
10,0.39793654180102433,0.5549575192742816
11,0.3945591122480144,0.5361590942608347
12,0.3924309322695737,0.5506657506338714
13,0.3836186891314542,0.5366224801181236
14,0.38180016706576003,0.5544458325129202
15,0.37903497384644913,0.5196051351161074
16,0.3781216865505932,0.5271165289310359
17,0.37348145622642653,0.5301461570290413
18,0.3744704820528498,0.5309070013817565
19,0.37418027822325656,0.5316844952583644
20,0.36286399238665185,0.5452760744598275
